,bucket_year,style_id,Unnamed: 0,instrument_count,timbre_brightness,acoustic,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,cluster_id,intra_sd,cluster_size,song_title,performer,is_representative,major,is_new_style,rep_source
55,1988,8,,7.0,0.1507371813058853,0.657744447006293,0.959,0.75,0.171,0.0277,0.0,0.0713,0.766,-7.732,,,12.0,360 Degrees (What Goes Around),Grand Puba,,,,top1
56,1993,5,,3.0,0.0298129022121429,0.8388835076928641,0.509,0.242,0.0291,0.714,0.000365,0.127,0.448,-13.353,,,50.0,When You Say Nothing At All,Alison Krauss + Union Station,,,,top1
57,1993,4,,4.0,0.1050128489732742,0.674260083876902,0.778,0.75,0.0417,0.571,0.000101,0.121,0.961,-5.052,,,28.0,Shut Up And Kiss Me,Mary Chapin Carpenter,,,,top1
58,1993,3,24.0,5.0,0.065982200205326,0.7522845102171493,0.547,0.457,0.0293,0.46,0.0,0.122,0.298,-9.872,1.0,0.0290505106172182,244.0,Hopelessly,Rick Astley,0.0,1.0,0.0,medoid
59,1993,1,25.0,3.0,0.210282951593399,0.6206892181020112,0.647,0.755,0.0347,0.0573,1.35e-06,0.104,0.774,-6.328,2.0,0.0324724943049957,462.0,Hook,Blues Traveler,0.0,1.0,1.0,medoid
60,1993,2,23.0,4.0,0.0856487527489662,0.5236903560997004,0.677,0.651,0.042,0.0838,1.34e-05,0.125,0.596,-8.159,0.0,0.0362695600997953,666.0,On My Own,Peach Union,0.0,1.0,1.0,medoid
61,1993,7,,3.0,0.4245342016220093,0.3752284362403253,0.546,0.85,0.0322,0.0123,0.0,0.193,0.584,-4.315,,,110.0,Sleeping In My Car,Roxette,,,,top1
62,1993,6,,3.0,0.1004601344466209,0.5722040088334078,0.547,0.397,0.0271,0.387,0.0,0.14,0.277,-10.463,,,118.0,Think Twice,Celine Dion,,,,top1
63,1993,8,,7.0,0.2089566141366958,0.453576989144844,0.731,0.758,0.116,0.112,1.64e-06,0.0987,0.8,-8.322,,,44.0,5 O'Clock,Nonchalant,,,,top1
64,1998,5,,2.0,0.0184520408511161,0.8270552147151826,0.414,0.161,0.0318,0.883,0.000223,0.117,0.423,-22.32,,,43.0,Landslide,Fleetwood Mac,,,,top1
65,1998,4,,3.0,0.1622028946876526,0.8009554341421923,0.706,0.679,0.0333,0.629,0.0,0.165,0.898,-5.565,,,45.0,Stranger In My Mirror,Randy Travis,,,,top1
66,1998,3,,3.0,0.0988850817084312,0.8250316853607589,0.563,0.544,0.0306,0.577,0.0,0.128,0.602,-6.102,,,133.0,Wide Open Spaces,Dixie Chicks,,,,top1
67,1998,1,28.0,3.0,0.1476978659629821,0.614354350892063,0.655,0.694,0.0453,0.09475,0.0,0.12,0.587,-6.253,2.0,0.03370617778881,731.0,Do You,Funkmaster Flex Featuring DMX,0.0,1.0,1.0,medoid
68,1998,2,26.0,5.0,0.1726389676332473,0.4716621392047157,0.737,0.817,0.0508,0.0577,0.0,0.118,0.751,-4.246,0.0,0.0277052590789882,469.0,I Keep Looking,Sara Evans,0.0,1.0,1.0,medoid
69,1998,7,,3.0,0.2366684526205063,0.4500501266240768,0.608,0.801,0.0376,0.0011,8.11e-06,0.223,0.544,-5.452,,,159.0,Running Away,Hoobastank,,,,top1
70,1998,6,27.0,5.0,0.0705455541610717,0.615045186014676,0.592,0.49,0.0241,0.489,0.0,0.0967,0.29,-8.053,1.0,0.0315445330993554,282.0,Let Me Let Go,Faith Hill,1.0,0.0,1.0,medoid
71,1998,8,,4.0,0.2699535191059112,0.5632828596209228,0.869,0.776,0.225,0.175,1.08e-06,0.165,0.771,-6.918,,,92.0,"Luv Me, Luv Me",Shaggy Featuring Janet,,,,top1
72,2003,5,,4.0,0.0103744398802518,0.8365096769774877,0.43,0.203,0.0369,0.863,4.71e-06,0.106,0.105,-10.425,,,38.0,Somewhere Over The Rainbow,Katharine McPhee,,,,top1
73,2003,4,,4.0,0.0647089257836341,0.7230489964105474,0.783,0.608,0.0345,0.59,0.0,0.158,0.914,-5.674,,,43.0,Tengo Un Amor,Toby Love Featuring Rakim & Ken-Y,,,,top1
74,2003,3,,4.0,0.0131269134581089,0.6969207615615898,0.624,0.477,0.0289,0.539,0.000152,0.158,0.608,-7.561,,,121.0,Cowboys Are Frequently Secretly (Fond Of Each Other),Willie Nelson,,,,top1
75,2003,1,,6.0,0.3159322142601013,0.5577641878843883,0.488,0.855,0.0399,0.287,0.0,0.132,0.799,-3.417,,,304.0,Livin' Our Love Song,Jason Michael Carroll,,,,top1
76,2003,2,30.0,4.0,0.1345510184764862,0.7128716530957624,0.623,0.738,0.0522,0.0724,0.0,0.131,0.555,-5.359,1.0,0.0309512461928838,616.0,Hey Good Lookin',"Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith & George Strait",0.0,1.0,1.0,medoid
77,2003,7,29.0,3.0,0.2436144798994064,0.4075547747044032,0.5,0.845,0.0369,0.00184,0.0,0.106,0.539,-5.015,0.0,0.0295959432998784,415.0,On The Way Down,Ryan Cabrera,1.0,0.0,1.0,medoid
78,2003,6,32.0,4.0,0.0800304263830185,0.5951733373632973,0.59,0.562,0.029,0.327,0.0,0.135,0.271,-5.8,3.0,0.0312449182728297,329.0,The Riddle,Five For Fighting,0.0,0.0,1.0,medoid
79,2003,8,31.0,7.0,0.188186690211296,0.5245404263284132,0.873,0.743,0.209,0.17,0.0,0.135,0.774,-5.197,2.0,0.0255675850135893,254.0,Let's Ride,The Game,1.0,0.0,1.0,medoid
80,2008,5,,3.0,0.037042174488306,0.8261046616618241,0.472,0.3,0.028,0.883,1.04e-05,0.0698,0.289,-10.807,,,85.0,Safe & Sound,Taylor Swift Featuring The Civil Wars,,,,top1
81,2008,4,,5.0,0.1505808681249618,0.8022722574282823,0.513,0.818,0.0425,0.646,0.0136,0.183,0.902,-6.77,,,54.0,River Of Love,George Strait,,,,top1
82,2008,3,,4.0,0.1323587894439697,0.6818530754218759,0.645,0.375,0.0279,0.729,2.16e-05,0.102,0.534,-6.138,,,124.0,"It's A Man's, Man's Man's World",Glee Cast,,,,top1
83,2008,1,33.0,4.0,0.2199389934539795,0.5433381541571327,0.599,0.753,0.0493,0.0625,0.0,0.14,0.504,-5.17,0.0,0.0317263846200879,1007.0,5-1-5-0,Dierks Bentley,0.0,1.0,1.0,medoid
84,2008,2,35.0,3.0,0.1449758261442184,0.6542131085921727,0.707,0.813,0.0571,0.0863,0.0,0.168,0.722,-4.515,2.0,0.027152573057745,626.0,Disturbia,Rihanna,0.0,1.0,1.0,medoid
85,2008,7,,3.0,0.2853550612926483,0.4446375678628989,0.576,0.865,0.0407,0.0343,5.32e-05,0.252,0.535,-3.288,,,367.0,The One That Got Away,Jake Owen,,,,top1
86,2008,6,34.0,5.0,0.0422163382172584,0.7096013144757335,0.549,0.492,0.0288,0.367,0.0,0.11,0.327,-7.141,1.0,0.0325598828202592,434.0,The Trouble With Girls,Scotty McCreery,0.0,0.0,1.0,medoid
87,2008,8,,7.0,0.2311120927333831,0.504862177784859,0.791,0.733,0.052,0.147,0.000381,0.0713,0.761,-5.215,,,36.0,Circus,Britney Spears,,,,top1
88,2013,5,,3.0,0.0113268392160534,0.7990217474585724,0.425,0.372,0.03,0.861,0.0148,0.0733,0.292,-10.92,,,81.0,Tin Man,Miranda Lambert,,,,top1
89,2013,4,,8.0,0.0903079211711883,0.7349819532958363,0.799,0.655,0.0485,0.659,0.0,0.135,0.82,-6.34,,,31.0,Heroe Favorito,Romeo Santos,,,,top1
90,2013,3,36.0,4.0,0.0541070140898227,0.5944423327296381,0.646,0.431,0.0262,0.637,6.99e-06,0.113,0.292,-8.517,0.0,0.0309613100085174,312.0,Bright,Echosmith,0.0,1.0,0.0,medoid
91,2013,1,38.0,3.0,0.2204185426235199,0.586522745776459,0.594,0.824,0.0458,0.0617,0.0,0.0861,0.671,-4.252,2.0,0.0305480877483239,547.0,Heartache On The Dance Floor,Jon Pardi,0.0,1.0,1.0,medoid
92,2013,2,37.0,3.0,0.0708022192120552,0.6182540709438892,0.64,0.681,0.05715,0.07855,0.0,0.1245,0.4625,-5.826499999999999,1.0,0.0317648121165253,1071.0,Holy Grail,Jay Z Featuring Justin Timberlake,0.0,1.0,1.0,medoid
93,2013,7,,3.0,0.3390806019306183,0.4390430305579862,0.578,0.866,0.0619,0.00701,0.0,0.257,0.619,-3.804,,,136.0,Shut Up And Dance,WALK THE MOON,,,,top1
94,2013,6,,3.0,0.1246026009321212,0.5851706543298832,0.477,0.6,0.0324,0.271,0.0,0.112,0.29,-5.652,,,245.0,If Only,Dove Cameron,,,,top1
95,2013,8,,6.0,0.1581889539957046,0.55589108948003,0.801,0.795,0.0504,0.0417,0.000113,0.0717,0.754,-5.115,,,34.0,Feel It Still,Portugal. The Man,,,,top1
